Date,Actual,Predicted,Model
2024-09-10,0.13813468007235874,0.08990280516439242,Historical Volatility
2024-09-10,0.13813468007235874,0.1284514210196235,GARCH
2024-09-10,0.13813468007235874,0.10402934335657482,Random Forest
2024-09-10,0.13813468007235874,0.11324828118085861,XGBoost
2024-09-10,0.13813468007235874,0.11959280073642731,Hybrid GARCH+ML
2024-09-11,0.1341546976159873,0.08532385120210781,Historical Volatility
2024-09-11,0.1341546976159873,0.1284514210196235,GARCH
2024-09-11,0.1341546976159873,0.10941909633865603,Random Forest
2024-09-11,0.1341546976159873,0.1226053461432457,XGBoost
2024-09-11,0.1341546976159873,0.1271124929189682,Hybrid GARCH+ML
2024-09-12,0.021922567629108613,0.10446167389175467,Historical Volatility
2024-09-12,0.021922567629108613,0.1284514210196235,GARCH
2024-09-12,0.021922567629108613,0.10533514738169338,Random Forest
2024-09-12,0.021922567629108613,0.09679877012968063,XGBoost
2024-09-12,0.021922567629108613,0.09941218793392181,Hybrid GARCH+ML
2024-09-13,0.10592061654316517,0.09147336201614988,Historical Volatility
2024-09-13,0.10592061654316517,0.1284514210196235,GARCH
2024-09-13,0.10592061654316517,0.09811853867934937,Random Forest
2024-09-13,0.10592061654316517,0.11208239942789078,XGBoost
2024-09-13,0.10592061654316517,0.100898876786232,Hybrid GARCH+ML
2024-09-16,0.11319662983056909,0.09148699093758975,Historical Volatility
2024-09-16,0.11319662983056909,0.1284514210196235,GARCH
2024-09-16,0.11319662983056909,0.09606398517977262,Random Forest
2024-09-16,0.11319662983056909,0.10609662532806396,XGBoost
2024-09-16,0.11319662983056909,0.0940796285867691,Hybrid GARCH+ML
2024-09-17,0.11277859324766701,0.09054842391175354,Historical Volatility
2024-09-17,0.11277859324766701,0.1284514210196235,GARCH
2024-09-17,0.11277859324766701,0.0954570641914641,Random Forest
2024-09-17,0.11277859324766701,0.09820640087127686,XGBoost
2024-09-17,0.11277859324766701,0.09432326257228851,Hybrid GARCH+ML
2024-09-18,0.11353994691806471,0.09100099972039465,Historical Volatility
2024-09-18,0.11353994691806471,0.1284514210196235,GARCH
2024-09-18,0.11353994691806471,0.09670288697071078,Random Forest
2024-09-18,0.11353994691806471,0.09839149564504623,XGBoost
2024-09-18,0.11353994691806471,0.09337882697582245,Hybrid GARCH+ML
2024-09-19,0.1268722354447624,0.09099217207223217,Historical Volatility
2024-09-19,0.1268722354447624,0.1284514210196235,GARCH
2024-09-19,0.1268722354447624,0.09699766707204903,Random Forest
